Model,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.5060240963855421,0.786096256684492,0.6157068062827226,0.8406546281226588,0.633820959571306
Decision Tree,0.5011990407673861,0.5588235294117647,0.5284450063211125,0.67871554418869,0.5882989554584362
Random Forest Basic,0.5646067415730337,0.5374331550802139,0.5506849315068493,0.81837298819396,0.5924888547591867
XGBoost Basic,0.5634920634920635,0.56951871657754,0.5664893617021277,0.8164444961120153,0.6016173388983064
CatBoost Basic,0.6022099447513812,0.5828877005347594,0.592391304347826,0.8333410834689607,0.640976321324106
Random Forest Tuned,0.5604395604395604,0.5454545454545454,0.5528455284552846,0.8200573510036426,0.6063713089079326
XGBoost Tuned,0.5598377281947262,0.7379679144385026,0.6366782006920415,0.8438825596114599,0.650187174293145
CatBoost Tuned,0.5750636132315522,0.6042780748663101,0.5893089960886571,0.83988865638482,0.6509335096338759
