iter	Logloss
0	0.6664272645
1	0.6417771331
2	0.6191459682
3	0.6001976492
4	0.5804603915
5	0.5664234905
6	0.5531637829
7	0.5390480581
8	0.5297356771
9	0.52080967
10	0.5127641642
11	0.5058534927
12	0.4975792638
13	0.4880165417
14	0.4811566575
15	0.4758779112
16	0.4704562293
17	0.4654655645
18	0.4612137932
19	0.4566047804
20	0.4509150895
21	0.4462084001
22	0.4425509464
23	0.4387998394
24	0.4347907426
25	0.4319465047
26	0.4290012499
27	0.4263249266
28	0.4222726097
29	0.4187621915
30	0.4171226643
31	0.4133990122
32	0.411535374
33	0.4098959233
34	0.4080956263
35	0.4064624215
36	0.4046718176
37	0.4034078511
38	0.4013651174
39	0.3995215572
40	0.3976829315
41	0.3964248735
42	0.3938543688
43	0.3924730505
44	0.3910401909
45	0.3893647181
46	0.3872162063
47	0.3854286663
48	0.3836985913
49	0.3829524992
50	0.3817131203
51	0.3805235192
52	0.3787633227
53	0.3776546086
54	0.3763391603
55	0.3756413442
56	0.3749814098
57	0.3737232132
58	0.3728043193
59	0.3715563325
60	0.3697326159
61	0.3687976753
62	0.367578914
63	0.366925904
64	0.3654773042
65	0.3646673628
66	0.36402732
67	0.36342875
68	0.3626462272
69	0.3610887932
70	0.3604870016
71	0.359600971
72	0.3585097387
73	0.3579140127
74	0.3568665411
75	0.3564408098
76	0.3554762954
77	0.3542817456
78	0.3532814193
79	0.3526406275
80	0.3521463519
81	0.3510740232
82	0.3502091011
83	0.3492133955
84	0.3487638296
85	0.3480358634
86	0.3475531272
87	0.3471392154
88	0.3467194995
89	0.3463513551
90	0.3457541975
91	0.345055231
92	0.3446439318
93	0.3443556589
94	0.3438614672
95	0.3435307245
96	0.3428555642
97	0.34251311
98	0.3422157609
99	0.3415009719
100	0.3411570882
101	0.3408250945
102	0.340030849
103	0.3396812639
104	0.3393318276
105	0.3389184583
106	0.3386043703
107	0.3383174371
108	0.3379798574
109	0.3373739897
110	0.3366505287
111	0.3363268482
112	0.3357636548
113	0.3353947247
114	0.3347426645
115	0.334400909
116	0.3341228498
117	0.3336898542
118	0.3332484853
119	0.3328260762
120	0.3324924979
121	0.3322983398
122	0.3319496246
123	0.3315148326
124	0.3309590269
125	0.3306932025
126	0.3301040605
127	0.3296440035
128	0.3291471975
129	0.3286184397
130	0.3283065598
131	0.3280417444
132	0.3276218521
133	0.3272600701
134	0.3270097997
135	0.3265404944
136	0.3260920881
137	0.3255243223
138	0.3252815087
139	0.3247260675
140	0.3243974356
141	0.3240803924
142	0.3236883835
143	0.323175951
144	0.3229285003
145	0.322649247
146	0.3224127413
147	0.3221224959
148	0.3217509694
149	0.3215127179
150	0.3212317571
151	0.3208458408
152	0.3204204938
153	0.3199657569
154	0.3195512518
155	0.3192196163
156	0.3189849722
157	0.3188125329
158	0.3186354084
159	0.3183336711
160	0.3179619391
161	0.3176178517
162	0.3172117938
163	0.3169775148
164	0.3165506616
165	0.3162313765
166	0.3159225771
167	0.3156553549
168	0.3151591705
169	0.3148307369
170	0.3145644943
171	0.3141895343
172	0.3139356756
173	0.3135744074
174	0.3131178476
175	0.3127967265
176	0.3126053599
177	0.3122501798
178	0.3119021596
179	0.3117134022
180	0.3111316621
181	0.3108688578
182	0.3103687671
183	0.3101663048
184	0.3098082813
185	0.3093956176
186	0.3089263044
187	0.3086073666
188	0.3082384657
189	0.3079569104
190	0.3077347636
191	0.3074584512
192	0.3071497299
193	0.306803731
194	0.3065473593
195	0.3059386161
196	0.3054944167
197	0.3052394217
198	0.3049165204
199	0.3045892503
